SE RIBEIRO GONÇALVES FID=SEL-421-R117-V0-Z007007-D20060413
23:18,9
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
4.23, -1346.803412, 792.632432, 564.246816, -402.163946, 305.160958, 96.041202, 0
4.26, -1340.086188, 584.398488, 789.27382, -420.300482, 250.545253, 168.930841, 0
4.29, -1296.424232, 335.8612, 970.638868, -418.995201, 184.250718, 234.675784, 0
4.32, -1205.741708, 77.248076, 1138.569468, -400.789966, 108.475721, 293.276031, 0
4.35, -1071.397228, -181.365048, 1256.120888, -373.653861, 29.609269, 346.380358, 0
4.38, -910.183852, -429.902336, 1333.368964, -330.579588, -51.112056, 384.302206, 0
4.41, -708.667132, -668.363788, 1356.879248, -277.818756, -128.604528, 410.751321, 0
4.44, -480.281516, -869.880508, 1340.086188, -218.737616, -196.960033, 419.888288, 0
4.47, -231.744228, -1041.16972, 1259.4795, -146.741064, -260.300511, 410.476525, 0
4.5, 40.303344, -1182.231424, 1145.286692, -69.523388, -317.183283, 389.798126, 0
4.53, 295.557856, -1289.707008, 990.79054, 9.961355, -362.662021, 354.692937, 0
4.56, 537.37792, -1340.086188, 822.85994, 89.652195, -397.423715, 308.389811, 0
4.59, 759.046312, -1343.4448, 604.55016, 163.709717, -417.68992, 253.705407, 0
4.62, 940.41136, -1299.782844, 376.164544, 230.966038, -419.544793, 187.479571, 0
4.65, 1111.700572, -1212.458932, 117.55142, 290.734168, -405.736294, 113.902942, 0
4.68, 1239.327828, -1088.190288, -147.778928, 344.250689, -378.462791, 33.937306, 0
4.71, 1323.293128, -913.542464, -396.316216, 382.859527, -337.449488, -45.272641, 0
4.74, 1356.879248, -715.384356, -634.777668, 409.308642, -288.261004, -120.22325, 0
4.77, 1336.727576, -486.99874, -846.370224, 421.468365, -230.14165, -191.601511, 0
4.8, 1279.631172, -245.178676, -1031.093884, 413.499281, -159.862573, -254.392397, 0
4.83, 1165.438364, 23.510284, -1175.5142, 392.546086, -82.026606, -312.923945, 0
4.86, 1017.659436, 282.123408, -1286.348396, 361.150643, -2.335766, -361.975031, 0
4.89, 839.653, 520.58486, -1343.4448, 313.748333, 77.767268, -395.500143, 0
4.92, 634.777668, 748.970476, -1356.879248, 260.163113, 151.687392, -416.659435, 0
4.95, 403.03344, 930.335524, -1316.575904, 196.547839, 218.394121, -419.338696, 0
4.98, 151.13754, 1088.190288, -1232.610604, 120.635444, 280.429318, -404.911906, 0
5.01, -114.192808, 1219.176156, -1091.5489, 43.623865, 332.915354, -380.455062, 0
5.04, -362.730096, 1313.217292, -933.694136, -37.440955, 375.09654, -340.197448, 0
5.07, -601.191548, 1346.803412, -738.89464, -115.551718, 406.354585, -292.176847, 0
5.1, -809.425492, 1343.4448, -513.867636, -187.204775, 419.682191, -233.301804, 0
5.13, -990.79054, 1279.631172, -272.047572, -252.674922, 416.109843, -163.641018, 0
5.16, -1148.645304, 1175.5142, -13.434448, -309.969888, 397.423715, -87.866021, 0
5.19, -1262.838112, 1037.811108, 251.8959, -359.433168, 365.409981, -6.251609, 0
